cloud provider,region,country code
aws,af-south-1,ZAF
aws,ap-east-1,HKG
aws,ap-northeast-1,JPN
aws,ap-northeast-2,KOR
aws,ap-northeast-3,JPN
aws,ap-south-1,IND
aws,ap-south-2,IND
aws,ap-southeast-1,SGP
aws,ap-southeast-2,AUS
aws,ap-southeast-3,IDN
aws,ap-southeast-4,AUS
aws,ca-central-1,CAN
aws,ca-west-1,CAN
aws,cn-north-1,CHN
aws,cn-northwest-1,CHN
aws,eu-central-1,DEU
aws,eu-central-2,CHE
aws,eu-north-1,SWE
aws,eu-south-1,ITA
aws,eu-south-2,ESP
aws,eu-west-1,IRL
aws,eu-west-2,GBR
aws,eu-west-3,FRA
aws,il-central-1,ISR
aws,me-central-1,ARE
aws,me-south-1,BHR
aws,sa-east-1,BRA
aws,us-east-1,USA
aws,us-east-2,USA
aws,us-west-1,USA
aws,us-west-2,USA
